Coding,Message
Community,absolutely!!
Community,"We would like to thank our most recent individual Gold Members, Lynn McRoy and Clinton Clapp. They named their new dive site Lynn's Arena which is located about 1/2 a mile west of Mora channel, opposite Lawson Rock. The mooring is in 40ft close to the shallows which is full of swim throughs, with the deep wall not too far of a swim away"
Information,Just a safety reminder: all divers in confined (within the swim zone or out) should have a surface marker with them at all times! We have had a good stretch of time with no accidents keys keep it that way!  :)
Community,Photo of the week! 2nd Place Reef Inhabitants. Photo courtesy of Brian Maga\xf1a!
Information,"LARGER FORMAT FOR THE TOTAL RAISED FOR RMP FROM JANUARY TO JULY 2012 INCLUDING: DONATIONS, MEMBERSHIPS, AND BRACELETS."
Community,He has one :) we'll send you a private message
Community,The Winners of the 2013 Lionfish Cook Off are... (drum roll please)... Mayan Princess with The Landing coming in a close 2nd and Lionfish Louies in 3rd!!!  Congratulations are in order to all the restaurants! Great job guys!
Information,"Our Park Rangers headed east a few nights ago and managed to confiscate 2 monofilament nets, the first a 300+ft net which was in the lagoon near Turquoise Bay, and the second a smaller net which was near the shore. That is over 2km of nets in 2 months removed from the reef"
Information,Final count on LIKES= 39
Information,Goggle-eyes scattered on the beach!
Information,The 2010 annual photo competition is officially over. Please check both albums to view all the entries. Results should be out mid August and the winners will appear in the RMP 2011 calendar. Thank you to all who entered
Community,Roatan Best Island Tours it was out and hunting during the day! Donna Pieracini was definitely in the right place at the right time!
Community,"They're getting smart up there! Give us a call... either Giaco 3351-8591, Nick 3320-6940, or Christi 3289-1213."
Action,Need someone to help with a song like this about Climate Change in Honduras... Can you help? \nNecesitamos su ayuda para elaborar una cancion asi sobre el Cambio Climatico en Honduras. \nhttps://www.youtube.com/watch?v=QYYT0U9kyco
Community,the derby will probably take place in the middle of february. watch for upcoming posts on our facebook and web page
Community,He is the newest like to our page as well!! :) Coincidence??
Information,"The turtle involved in the incident near Turquoise Bay last Friday is doing remarkably well considering the wound it suffered. With care from the staff at Maya Key, she had been eating and responding well to the antibiotics which is keeping infection at bay. Lets keep our fingers crossed she makes a speedy recovery"
Community,There are some great  worldwide efforts in attempt to protect these vital and endangered apex predators! \nhttps://www.sharksavers.org/en/our-programs/shark-sanctuaries/learn-more/laws-protecting-sharks
Action,"We understand that 3 is normally too early for diveshops but for those of you that can make it please do as, 4 is too late for water taxis and we are trying to get to everyone!"
Action,Earth Hour.. it's coming up :)
Community,We agree that this photo is horrific but it showcases the need for more education. This photo was taken by the volunteer that was in the water educated tourists that failed to receive an environmental briefing. We require our volunteers to take photos as we use them for our incident reports and proof of liability when we train snorkel leaders.
Action,"We need marine life (fish, turtles, sharks, octopus, dolphins, coral or anything of the sort) and a person. \nWe are working on trash collection so if a trash can pops up that would help too!"
Information,It is not against program regulations nor against the law as long as it is purchased while season is still open or from a supplier that stocks up while season is still open.
Community,"We do not have regular sightings off of Roatan so one Patrol boat is normally enough for us to control the crowd. Also we rely on the help of our stakeholders, the diveshops and fishermen to comply with the best practices! The Whale Shark and Oceanic Research Center (WSORC) in Utila might be able to help by sharing their control methods as they see them more frequently! :)"
Information,We are happy the 8 people where found by the US Army helicopter and picked up. The where brought to Roatan and they are now in the hands of the doctors making sure they are okay. Happy day for their families and for the Bay Islands.
Community,Help get Roatan recognized as one of the great dive areas of the Caribbean
Information,Interesting. ..very interesting!
Action,We will have beach cleanups all year! Our candidates for Protect our Pride will be coordinating them all year!
Community,Lukus We still have to iron out the bugs but we'll have answers for you before we put them out!!
Community,Everywhere you look you see the Roatan Marine Park :) Great Re-usable bags ladies!! ;)
Community,"Loretta DeLeon Lionfish is very good to eat! Most people compare it to grouper! It's the most sustainable source of white (non gamey) fish in our region! Dennis Harrold We also have it in English, will post soon!"
